image :1method :2
P =[0.17402875, -0.05408809, -0.040565643, -0.25649726;
  0.05978724, 0.074390851, 0.16053556, 0.92976958;
  3.8286162e-05, 0.00024201201, -0.00012688112, 0.00072074082]

0. [285.12 14.91]  [285.87067; 14.783241]  error is : 0.761298
1. [148.91 158.16]  [146.34961; 156.58496]  error is : 3.00606
2. [283.54 9.41]  [284.44681; 9.4450531]  error is : 0.907477
3. [283.54 9.41]  [284.44681; 9.4450531]  error is : 0.907477
4. [278.01 -74.38]  [279.03552; -76.189255]  error is : 2.07968
5. [278.01 -74.38]  [279.00491; -76.237221]  error is : 2.10692
6. [243.92 100.51]  [244.61159; 100.42553]  error is : 0.696729
7. [285.12 14.91]  [285.94736; 14.80556]  error is : 0.833928
8. [251.19 152.17]  [252.24002; 153.74512]  error is : 1.89302
9. [251.19 152.17]  [252.25276; 153.93301]  error is : 2.05856
10. [269.28 145.73]  [271.96594; 146.60005]  error is : 2.82335
11. [212.95 157.42]  [213.07318; 158.43111]  error is : 1.01858
12. [271.16 -66.06]  [271.44617; -66.948853]  error is : 0.933784
13. [241.24 182.97]  [242.15266; 185.46115]  error is : 2.65307
14. [180.51 192.21]  [180.04198; 193.13506]  error is : 1.0367
15. [234.72 169.76]  [235.70929; 171.62381]  error is : 2.11009
16. [188.32 181.03]  [187.01559; 182.80583]  error is : 2.20342
17. [188.32 181.03]  [187.01559; 182.80583]  error is : 2.20342
18. [-174.52 -153.14]  [-173.73866; -152.64079]  error is : 0.927201
19. [-169.34 -164.24]  [-169.07977; -163.93295]  error is : 0.402489
20. [-19.52 -155.26]  [-19.384392; -154.27126]  error is : 0.997995
21. [-19.52 -155.26]  [-19.384392; -154.27126]  error is : 0.997995
22. [176.92 -104.24]  [175.45654; -104.56586]  error is : 1.4993
23. [272.02 -56.23]  [272.4888; -57.366486]  error is : 1.22938
24. [234.7 176.3]  [235.6723; 178.39876]  error is : 2.31304
25. [-79.62 -62.62]  [-78.457062; -62.226513]  error is : 1.22771
26. [-183.28 -152.83]  [-182.742; -152.43434]  error is : 0.667821
27. [-126.59 -152.59]  [-125.98222; -151.69777]  error is : 1.07957
