image :1method :3
P =[-0.1759028, 0.053450912, 0.039890643, 0.2511948;
  -0.0605391, -0.075328194, -0.1607649, -0.93076617;
  -4.3305805e-05, -0.00022994775, 0.00013205157, -0.00068015547]

  inlier threshold  :0.5  no_of_inliers :549
error = 2.97314
Ground data       :       projected points
0. [285.12 14.91]  [286.92877; 14.958954]  error is : 1.80944
1. [148.91 158.16]  [151.49583; 159.71869]  error is : 3.01927
2. [283.54 9.41]  [285.42712; 9.6375732]  error is : 1.90079
3. [283.54 9.41]  [285.42712; 9.6375732]  error is : 1.90079
4. [278.01 -74.38]  [278.43884; -75.461975]  error is : 1.16386
5. [278.01 -74.38]  [278.40723; -75.509811]  error is : 1.19761
6. [243.92 100.51]  [248.19637; 101.2178]  error is : 4.33455
7. [285.12 14.91]  [287.00504; 14.981443]  error is : 1.88639
8. [251.19 152.17]  [256.63824; 154.91084]  error is : 6.09882
9. [251.19 152.17]  [256.65494; 155.10146]  error is : 6.20153
10. [269.28 145.73]  [275.92163; 147.38676]  error is : 6.84516
11. [212.95 157.42]  [218.05255; 160.38373]  error is : 5.90083
12. [271.16 -66.06]  [271.25644; -66.318031]  error is : 0.275465
13. [241.24 182.97]  [247.28961; 187.26587]  error is : 7.41972
14. [180.51 192.21]  [185.74156; 196.36736]  error is : 6.68228
15. [234.72 169.76]  [240.65456; 173.32135]  error is : 6.92114
16. [188.32 181.03]  [192.55609; 185.70712]  error is : 6.3103
17. [188.32 181.03]  [192.55609; 185.70712]  error is : 6.3103
18. [-174.52 -153.14]  [-178.15863; -155.1741]  error is : 4.16859
19. [-169.34 -164.24]  [-173.33978; -166.61349]  error is : 4.65099
20. [-19.52 -155.26]  [-19.434845; -155.31361]  error is : 0.10063
21. [-19.52 -155.26]  [-19.434845; -155.31361]  error is : 0.10063
22. [176.92 -104.24]  [176.64561; -104.01636]  error is : 0.353979
23. [272.02 -56.23]  [272.47348; -56.80471]  error is : 0.732084
24. [234.7 176.3]  [240.737; 180.19624]  error is : 7.18513
25. [-79.62 -62.62]  [-79.516693; -62.102253]  error is : 0.527952
26. [-183.28 -152.83]  [-187.48914; -155.05338]  error is : 4.76028
27. [-126.59 -152.59]  [-128.78372; -153.74348]  error is : 2.4785
28. [-126.59 -152.59]  [-128.78372; -153.74348]  error is : 2.4785
29. [-173.32 -164.64]  [-177.34096; -166.92516]  error is : 4.62493
